group_id,group_name,assoc_techniques
 G0013 , APT30 ,"['T1566.001', 'T1204.002']"
 G0050 , APT32 ,"['T1087.001', 'T1583.001', 'T1033.006', 'T1071.001', 'T1033.003', 'T1560', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1189', 'T1585.001', 'T1048.003', 'T1041', 'T1203', 'T1068', 'T1083', 'T1222.002', 'T1589', 'T1589.002', 'T1564.001', 'T1589.003', 'T1589.004', 'T1574.002', 'T1070.001', 'T1589.004', 'T1589.006', 'T1105', 'T1056.001', 'T1570', 'T1036', 'T1036.003', 'T1036.004', 'T1036.005', 'T1112', 'T1046', 'T1135', 'T1571', 'T1027.001', 'T1571.010', 'T1571.011', 'T1571.013', 'T1588.002', 'T1137', 'T1003', 'T1003.001', 'T1566.001', 'T1003.002', 'T1598.003', 'T1055', 'T1012', 'T1021.002', 'T1018', 'T1053.005', 'T1505.003', 'T1072', 'T1608.001', 'T1072.004', 'T1218.005', 'T1072.010', 'T1072.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1216.001', 'T1569.002', 'T1552.002', 'T1550.002', 'T1033.003', 'T1204.001', 'T1033.002', 'T1078.003', 'T1102', 'T1047']"
 G0064 , APT33 ,"['T1071.001', 'T1560.001', 'T1547.001', 'T1110.003', 'T1059.001', 'T1047.005', 'T1555', 'T1555.003', 'T1132.001', 'T1573.001', 'T1546.003', 'T1048.003', 'T1203', 'T1068', 'T1105', 'T1040', 'T1571', 'T1027.013', 'T1588.002', 'T1003.001', 'T1571.004', 'T1571.005', 'T1566.001', 'T1571.002', 'T1053.005', 'T1552.001', 'T1571.006', 'T1204.001', 'T1571.002', 'T1078', 'T1078.004', 'T0852', 'T0853', 'T0865']"
 G0067 , APT37 ,"['T1548.002', 'T1071.001', 'T1123', 'T1547.001', 'T1059', 'T1059.003', 'T1059.005', 'T1059.006', 'T1555.003', 'T1005', 'T1561.002', 'T1189', 'T1203', 'T1105', 'T1559.002', 'T1036.001', 'T1106', 'T1027', 'T1027.003', 'T1120', 'T1566.001', 'T1057', 'T1055', 'T1053.005', 'T1082', 'T1033', 'T1529', 'T1204.002', 'T1102.002']"
 G0082 , APT38 ,"['T1071.001', 'T1217', 'T1110', 'T1115', 'T1059.001', 'T1115.003', 'T1115.005', 'T1543.003', 'T1485', 'T1486', 'T1005', 'T1565.001', 'T1005.002', 'T1005.003', 'T1561.002', 'T1189', 'T1083', 'T1562.003', 'T1083.004', 'T1070.001', 'T1083.004', 'T1083.006', 'T1105', 'T1056.001', 'T1112', 'T1106', 'T1135', 'T1027.002', 'T1588.002', 'T1566.001', 'T1057', 'T1053.003', 'T1057.005', 'T1505.003', 'T1518.001', 'T1218.001', 'T1057.011', 'T1082', 'T1049', 'T1033', 'T1569.002', 'T1529', 'T1204.002']"
 G0087 , APT39 ,"['T1071.001', 'T1529.004', 'T1560.001', 'T1197', 'T1547.001', 'T1197.009', 'T1110', 'T1115', 'T1059', 'T1059.001', 'T1059.005', 'T1059.006', 'T1059.010', 'T1136.001', 'T1555', 'T1005', 'T1074.001', 'T1140', 'T1546.010', 'T1041', 'T1190', 'T1083', 'T1070.004', 'T1105', 'T1056', 'T1056.001', 'T1036.005', 'T1046', 'T1135', 'T1027.002', 'T1135.013', 'T1588.002', 'T1003', 'T1003.001', 'T1566.001', 'T1003.002', 'T1090.001', 'T1003.002', 'T1012', 'T1021.001', 'T1012.002', 'T1012.004', 'T1018', 'T1053.005', 'T1113', 'T1505.003', 'T1553.006', 'T1033', 'T1569.002', 'T1204.001', 'T1033.002', 'T1078', 'T1102.002']"
 G0096 , APT41 ,"['T1134', 'T1087.001', 'T1134.002', 'T1098.007', 'T1583.007', 'T1595.002', 'T1134.003', 'T1071.001', 'T1134.002', 'T1134.004', 'T1560.001', 'T1134.003', 'T1119', 'T1197', 'T1547.001', 'T1037', 'T1110', 'T1059.001', 'T1110.003', 'T1110.004', 'T1110.007', 'T1586.003', 'T1136.001', 'T1543.003', 'T1555', 'T1555.003', 'T1486', 'T1213.003', 'T1005', 'T1001.003', 'T1074.001', 'T1030', 'T1140', 'T1484.001', 'T1568.002', 'T1573.002', 'T1546.008', 'T1480.001', 'T1048.003', 'T1041', 'T1567.002', 'T1190', 'T1203', 'T1133', 'T1008', 'T1083', 'T1574.001', 'T1083.002', 'T1083.006', 'T1562.006', 'T1656', 'T1070.001', 'T1656.003', 'T1656.004', 'T1105', 'T1056.001', 'T1570', 'T1036.004', 'T1570.005', 'T1112', 'T1104', 'T1599', 'T1046', 'T1135', 'T1027', 'T1027.002', 'T1027.013', 'T1588.002', 'T1027.003', 'T1003.001', 'T1027.002', 'T1027.003', 'T1069', 'T1566.001', 'T1542.003', 'T1055', 'T1090', 'T1012', 'T1021.001', 'T1012.002', 'T1018', 'T1496.001', 'T1014', 'T1053.005', 'T1596.005', 'T1593.002', 'T1594', 'T1505.003', 'T1553.002', 'T1195.002', 'T1218.001', 'T1594.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1569.002', 'T1550.002', 'T1078', 'T1102.001', 'T1047']"
 G1023 , APT5 ,"['T1098.007', 'T1560.001', 'T1059.001', 'T1047.003', 'T1554', 'T1136.001', 'T1074.001', 'T1190', 'T1083', 'T1562.006', 'T1070', 'T1070.003', 'T1070.004', 'T1070.006', 'T1056.001', 'T1654', 'T1036.005', 'T1003.001', 'T1654.002', 'T1057', 'T1055', 'T1021.001', 'T1055.004', 'T1053.003', 'T1505.003', 'T1049', 'T1078.002', 'T1049.004']"
 G0143 , Aquatic Panda ,"['T1087', 'T1595.002', 'T1560.001', 'T1059.001', 'T1087.003', 'T1087.004', 'T1543.003', 'T1005', 'T1574.001', 'T1005.006', 'T1562.001', 'T1070.001', 'T1005.003', 'T1005.004', 'T1105', 'T1654', 'T1036.004', 'T1654.005', 'T1112', 'T1027.010', 'T1588.001', 'T1112.002', 'T1003.001', 'T1021', 'T1021.001', 'T1021.002', 'T1021.004', 'T1518.001', 'T1218.011', 'T1082', 'T1033', 'T1007', 'T1550.002', 'T1078.002', 'T1047']"
 G0001 , Axiom ,"['T1583.002', 'T1047.003', 'T1560', 'T1584.005', 'T1005', 'T1001.002', 'T1189', 'T1546.008', 'T1190', 'T1203', 'T1003', 'T1566', 'T1563.002', 'T1021.001', 'T1553', 'T1078']"
 G0135 , BackdoorDiplomacy ,"['T1074.001', 'T1190', 'T1574.001', 'T1105', 'T1036.004', 'T1105.005', 'T1046', 'T1095', 'T1027', 'T1588.001', 'T1027.002', 'T1120', 'T1055.001', 'T1505.003', 'T1049']"
 G1002 , BITTER ,"['T1583.001', 'T1071.001', 'T1568', 'T1573', 'T1203', 'T1068', 'T1105', 'T1559.002', 'T1036.004', 'T1095', 'T1027.013', 'T1588.002', 'T1566.001', 'T1053.005', 'T1608.001', 'T1204.002', 'T1660']"
 G0063 , BlackOasis ,['T1027']
 G0098 , BlackTech ,"['T1190', 'T1203', 'T1574.002', 'T1036.002', 'T1106', 'T1046', 'T1588.002', 'T1046.003', 'T1046.004', 'T1566.001', 'T1046.002', 'T1021.004', 'T1204.001', 'T1046.002']"
 G0108 , Blue Mockingbird ,"['T1134', 'T1059.001', 'T1134.003', 'T1543.003', 'T1546.003', 'T1190', 'T1574.012', 'T1036.005', 'T1112', 'T1027.013', 'T1588.002', 'T1003.001', 'T1090', 'T1021.001', 'T1090.002', 'T1496.001', 'T1053.005', 'T1218.010', 'T1090.011', 'T1082', 'T1569.002', 'T1047']"
 G0097 , Bouncing Golf ,['T1655.001']
 G0060 , BRONZE BUTLER ,"['T1548.002', 'T1087.002', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1047.003', 'T1047.005', 'T1047.006', 'T1132.001', 'T1005', 'T1039', 'T1140', 'T1189', 'T1573.001', 'T1203', 'T1083', 'T1574.002', 'T1562.001', 'T1070.004', 'T1105', 'T1036', 'T1036.002', 'T1036.005', 'T1027.001', 'T1036.003', 'T1588.002', 'T1003.001', 'T1566.001', 'T1018', 'T1053.002', 'T1018.005', 'T1113', 'T1518', 'T1007', 'T1124', 'T1080', 'T1550.003', 'T1204.002', 'T1102.001']"
 G0008 , Carbanak ,"['T1543.003', 'T1562.004', 'T1036.004', 'T1080.005', 'T1588.002', 'T1219', 'T1218.011', 'T1078', 'T1102.002']"
 G0114 , Chimera ,"['T1087.001', 'T1078.002', 'T1071.001', 'T1078.004', 'T1560.001', 'T1119', 'T1217', 'T1110.003', 'T1217.004', 'T1059.001', 'T1217.003', 'T1213.002', 'T1039', 'T1074.001', 'T1039.002', 'T1482', 'T1114.001', 'T1482.002', 'T1041', 'T1567.002', 'T1133', 'T1083', 'T1589.001', 'T1574.002', 'T1070.001', 'T1083.004', 'T1083.006', 'T1105', 'T1570', 'T1036.005', 'T1556.001', 'T1111', 'T1106', 'T1046', 'T1135', 'T1027.010', 'T1588.002', 'T1003.003', 'T1201', 'T1069.001', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1012.002', 'T1012.006', 'T1018', 'T1053.005', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1569.002', 'T1124', 'T1550.002', 'T1078', 'T1078.002', 'T1047']"
 G1021 , Cinnamon Tempest ,"['T1059.001', 'T1047.003', 'T1047.006', 'T1543.003', 'T1140', 'T1484.001', 'T1567.002', 'T1190', 'T1657', 'T1574.001', 'T1657.002', 'T1105', 'T1588.002', 'T1572', 'T1090', 'T1021.002', 'T1080', 'T1078', 'T1078.002', 'T1047']"
 G0003 , Cleaver ,"['T1557.002', 'T1587.001', 'T1585.001', 'T1588.002', 'T1003.001']"
 G0080 , Cobalt Group ,"['T1548.002', 'T1071.001', 'T1047.004', 'T1547.001', 'T1037.001', 'T1059.001', 'T1047.003', 'T1047.005', 'T1047.007', 'T1543.003', 'T1573.002', 'T1203', 'T1068', 'T1070.004', 'T1105', 'T1559.002', 'T1046', 'T1027.010', 'T1588.002', 'T1566.001', 'T1046.002', 'T1055', 'T1572', 'T1219', 'T1021.001', 'T1053.005', 'T1518.001', 'T1195.002', 'T1218.003', 'T1219.008', 'T1219.010', 'T1204.001', 'T1219.002', 'T1220']"
 G0142 , Confucius ,"['T1583.006', 'T1071.001', 'T1119', 'T1547.001', 'T1059.001', 'T1119.005', 'T1041', 'T1567.002', 'T1203', 'T1083', 'T1105', 'T1566.001', 'T1105.002', 'T1053.005', 'T1218.005', 'T1082', 'T1221', 'T1204.001', 'T1221.002']"
 G0052 , CopyKittens ,"['T1560.001', 'T1221.003', 'T1059.001', 'T1564.003', 'T1588.002', 'T1090', 'T1553.002', 'T1218.011']"
 G1012 , CURIUM ,"['T1583.001', 'T1090.003', 'T1090.004', 'T1059.001', 'T1584.006', 'T1005', 'T1189', 'T1585.001', 'T1189.002', 'T1048.002', 'T1041', 'T1566.001', 'T1041.003', 'T1598.003', 'T1505.003', 'T1608.004', 'T1082', 'T1124', 'T1204.002']"
 G1027 , CyberAv3ngers ,"['T0812', 'T0814', 'T0883', 'T0826', 'T0828', 'T0829']"
 G1034 , Daggerfly ,"['T1071.001', 'T1059.001', 'T1584.004', 'T1136.001', 'T1587.002', 'T1189', 'T1574.002', 'T1105', 'T1036.003', 'T1003.002', 'T1012', 'T1053.005', 'T1553.002', 'T1195.002', 'T1218.011', 'T1082', 'T1204.001']"
 G0070 , Dark Caracal ,"['T1071.001', 'T1547.001', 'T1059.003', 'T1005', 'T1189', 'T1083', 'T1027.002', 'T1083.013', 'T1566.003', 'T1113', 'T1218.001', 'T1204.002', 'T1437.001']"
 G0012 , Darkhotel ,"['T1547.001', 'T1059.003', 'T1140', 'T1189', 'T1573.001', 'T1203', 'T1083', 'T1105', 'T1056.001', 'T1036.005', 'T1027.013', 'T1566.001', 'T1057', 'T1091', 'T1518.001', 'T1553.002', 'T1082', 'T1016', 'T1124', 'T1080', 'T1204.002', 'T1497', 'T1497.001', 'T1497.002']"
 G0079 , DarkHydrus ,"['T1059.001', 'T1187', 'T1564.003', 'T1588.002', 'T1566.001', 'T1221', 'T1204.002']"
 G0105 , DarkVishnya ,"['T1110', 'T1059.001', 'T1543.003', 'T1200', 'T1046', 'T1135', 'T1040', 'T1571', 'T1588.002', 'T1219']"
 G0009 , Deep Panda ,"['T1059.001', 'T1546.008', 'T1564.003', 'T1027.005', 'T1057', 'T1021.002', 'T1018', 'T1505.003', 'T1218.010', 'T1047']"
 G0035 , Dragonfly ,"['T1087.002', 'T1098.007', 'T1583.001', 'T1047.003', 'T1595.002', 'T1071.002', 'T1560', 'T1547.001', 'T1110', 'T1110.002', 'T1059', 'T1059.001', 'T1059.003', 'T1059.006', 'T1584.004', 'T1136.001', 'T1005', 'T1074.001', 'T1189', 'T1114.002', 'T1190', 'T1203', 'T1210', 'T1133', 'T1083', 'T1187', 'T1591.002', 'T1564.002', 'T1562.004', 'T1070.001', 'T1187.004', 'T1105', 'T1036.010', 'T1112', 'T1135', 'T1588.002', 'T1003.002', 'T1135.003', 'T1135.004', 'T1069.002', 'T1566.001', 'T1598.002', 'T1135.003', 'T1012', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1505.003', 'T1608.004', 'T1195.002', 'T1016', 'T1033', 'T1221', 'T1204.002', 'T1078', 'T0817', 'T0862']"
 G0017 , DragonOK ,[]
 G1006 , Earth Lusca ,"['T1548.002', 'T1098.004', 'T1583.001', 'T0862.004', 'T0862.006', 'T1595.002', 'T1560.001', 'T1547.012', 'T1059.001', 'T0862.005', 'T0862.006', 'T0862.007', 'T1584.004', 'T0862.006', 'T1543.003', 'T1140', 'T1482', 'T1189', 'T1567.002', 'T1190', 'T1210', 'T1574.002', 'T1036.005', 'T1112', 'T1027', 'T1027.003', 'T1588.001', 'T1027.002', 'T1003.001', 'T1027.006', 'T1566.002', 'T1057', 'T1090', 'T1018', 'T1053', 'T1608.001', 'T1218.005', 'T1016', 'T1049', 'T1033', 'T1007', 'T1204.001', 'T1007.002', 'T1047']"
 G0066 , Elderwood ,"['T1189', 'T1203', 'T1105', 'T1027.002', 'T1105.013', 'T1566.001', 'T1105.002', 'T1204.001', 'T1105.002']"
