group_id,group_name,assoc_techniques
 G0043 , Group5 ,"['T1070.004', 'T1056.001', 'T1027.013', 'T1113']"
 G0125 , HAFNIUM ,"['T1098', 'T1583.003', 'T1098.006', 'T1071.001', 'T1560.001', 'T1059.001', 'T1098.003', 'T1136.002', 'T1132.001', 'T1005', 'T1114.002', 'T1567.002', 'T1190', 'T1083', 'T1592.004', 'T1589.002', 'T1590', 'T1590.005', 'T1564.001', 'T1105', 'T1095', 'T1003.001', 'T1095.003', 'T1057', 'T1018', 'T1505.003', 'T1218.011', 'T1016', 'T1016.001', 'T1033', 'T1078.003']"
 G1001 , HEXANE ,"['T1134.001', 'T1087.003', 'T1098.002', 'T1583.001', 'T1033.002', 'T1010', 'T1110', 'T1110.003', 'T1059.001', 'T1110.003', 'T1110.005', 'T1586.002', 'T1555', 'T1555.003', 'T1486', 'T1561.002', 'T1114.002', 'T1585.001', 'T1486.002', 'T1546.003', 'T1041', 'T1567.002', 'T1190', 'T1589', 'T1589.002', 'T1591.004', 'T1562.001', 'T1589.002', 'T1105', 'T1056.001', 'T1534', 'T1570', 'T1036.005', 'T1046', 'T1027.010', 'T1588.002', 'T1046.003', 'T1003.001', 'T1069.001', 'T1057', 'T1021.001', 'T1057.002', 'T1018', 'T1053.005', 'T1505.003', 'T1518', 'T1608.001', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1033', 'T1204.002', 'T1078.001', 'T1102.002', 'T1047']"
 G0126 , Higaisa ,"['T1071.001', 'T1547.001', 'T1059.003', 'T1047.005', 'T1047.007', 'T1001.003', 'T1140', 'T1573.001', 'T1041', 'T1203', 'T1564.003', 'T1574.002', 'T1036.004', 'T1106', 'T1027.001', 'T1106.013', 'T1566.001', 'T1057', 'T1090.001', 'T1053.005', 'T1029', 'T1082', 'T1016', 'T1124', 'T1204.002', 'T1220']"
 G1032 , INC Ransom ,"['T1087.002', 'T1071', 'T1560.001', 'T1059.003', 'T1486', 'T1074', 'T1190', 'T1657', 'T1562.001', 'T1070.004', 'T1105', 'T1570', 'T1036.005', 'T1046', 'T1135', 'T1588.002', 'T1069.002', 'T1566', 'T1219', 'T1021.001', 'T1049', 'T1569.002', 'T1537', 'T1078', 'T1047']"
 G0100 , Inception ,"['T1071.001', 'T1547.001', 'T1059.001', 'T1047.005', 'T1555.003', 'T1005', 'T1573.001', 'T1203', 'T1083', 'T1027.013', 'T1588.002', 'T1069.002', 'T1566.001', 'T1057', 'T1090.003', 'T1518', 'T1218.005', 'T1518.010', 'T1082', 'T1221', 'T1204.002', 'T1102']"
 G0136 , IndigoZebra ,"['T1583.001', 'T1102.006', 'T1586.002', 'T1105', 'T1588.002', 'T1566.001', 'T1204.002']"
 G0119 , Indrik Spider ,"['T1583', 'T1059.001', 'T1583.003', 'T1583.007', 'T1584.004', 'T1136', 'T1136.001', 'T1555.005', 'T1486', 'T1074.001', 'T1587.001', 'T1484.001', 'T1585.002', 'T1567.002', 'T1590', 'T1562.001', 'T1070.001', 'T1105', 'T1036.005', 'T1112', 'T1003.001', 'T1012', 'T1021.001', 'T1012.004', 'T1018', 'T1489', 'T1558.003', 'T1007', 'T1552.001', 'T1204.002', 'T1078', 'T1078.002', 'T1047']"
 G0004 , Ke3chang ,"['T1087.001', 'T1047.002', 'T1071.001', 'T1047.004', 'T1560', 'T1560.001', 'T1119', 'T1020', 'T1547.001', 'T1059', 'T1059.003', 'T1543.003', 'T1213.002', 'T1005', 'T1140', 'T1587.001', 'T1114.002', 'T1041', 'T1190', 'T1133', 'T1083', 'T1105', 'T1056.001', 'T1036.002', 'T1105.005', 'T1027', 'T1588.002', 'T1003.001', 'T1027.002', 'T1027.003', 'T1027.004', 'T1069.002', 'T1057', 'T1021.002', 'T1018', 'T1558.001', 'T1082', 'T1614.001', 'T1016', 'T1049', 'T1033', 'T1007', 'T1569.002', 'T1078', 'T1078.004']"
 G0094 , Kimsuky ,"['T1098.007', 'T1583', 'T1583.001', 'T1583.004', 'T1583.006', 'T1557', 'T1071.001', 'T1557.002', 'T1557.003', 'T1560.001', 'T1557.003', 'T1547.001', 'T1176', 'T1059.001', 'T1176.003', 'T1176.005', 'T1176.006', 'T1176.007', 'T1586.002', 'T1584.001', 'T1136.001', 'T1543.003', 'T1555.003', 'T1005', 'T1074.001', 'T1140', 'T1587', 'T1587.001', 'T1114.002', 'T1587.003', 'T1585.001', 'T1587.002', 'T1546.001', 'T1041', 'T1567.002', 'T1190', 'T1133', 'T1083', 'T1657', 'T1589.002', 'T1657.003', 'T1591', 'T1564.002', 'T1591.003', 'T1562.001', 'T1591.004', 'T1070.004', 'T1591.006', 'T1105', 'T1056.001', 'T1534', 'T1036.004', 'T1534.005', 'T1112', 'T1111', 'T1040', 'T1027', 'T1027.002', 'T1588.002', 'T1027.005', 'T1003.001', 'T1566.001', 'T1027.002', 'T1598', 'T1598.003', 'T1057', 'T1055', 'T1055.012', 'T1012', 'T1620', 'T1219', 'T1021.001', 'T1053.005', 'T1593.001', 'T1219.002', 'T1594', 'T1505.003', 'T1518.001', 'T1608.001', 'T1553.002', 'T1218.005', 'T1594.010', 'T1594.011', 'T1082', 'T1016', 'T1007', 'T1552.001', 'T1550.002', 'T1204.001', 'T1007.002', 'T1078.003', 'T1102.002']"
 G1004 , LAPSUS$ ,"['T1531', 'T1087.002', 'T1098.003', 'T1583.003', 'T1586.002', 'T1584.002', 'T1136.003', 'T1555.003', 'T1531.005', 'T1485', 'T1213.001', 'T1485.002', 'T1485.003', 'T1485.005', 'T1005', 'T1114.003', 'T1068', 'T1133', 'T1589', 'T1589.001', 'T1589.002', 'T1591.002', 'T1589.004', 'T1656', 'T1578.002', 'T1656.003', 'T1111', 'T1621', 'T1588.001', 'T1621.002', 'T1003.003', 'T1621.006', 'T1069.002', 'T1598.004', 'T1090', 'T1597.002', 'T1593.003', 'T1489', 'T1199', 'T1552.008', 'T1204', 'T1078', 'T1078.004']"
 G0032 , Lazarus Group ,"['T1134.002', 'T1087.002', 'T1098', 'T1583.001', 'T1098.004', 'T1098.006', 'T1557.001', 'T1071.001', 'T1010', 'T1560', 'T1560.001', 'T1560.002', 'T1560.003', 'T1547.001', 'T1560.009', 'T1110.003', 'T1059.001', 'T1560.003', 'T1560.005', 'T1584.001', 'T1560.004', 'T1543.003', 'T1485', 'T1132.001', 'T1005', 'T1001.003', 'T1074.001', 'T1622', 'T1491.001', 'T1140', 'T1587.001', 'T1140.002', 'T1561.001', 'T1140.002', 'T1189', 'T1573.001', 'T1585.001', 'T1189.002', 'T1048.003', 'T1041', 'T1567.002', 'T1203', 'T1008', 'T1083', 'T1589.002', 'T1591', 'T1591.004', 'T1564.001', 'T1574.002', 'T1591.013', 'T1562.001', 'T1591.004', 'T1656', 'T1070', 'T1070.003', 'T1070.004', 'T1070.006', 'T1202', 'T1105', 'T1056.001', 'T1534', 'T1036.003', 'T1534.004', 'T1534.005', 'T1534.008', 'T1104', 'T1106', 'T1046', 'T1571', 'T1027.002', 'T1571.007', 'T1571.013', 'T1588.002', 'T1571.003', 'T1571.004', 'T1566.001', 'T1571.002', 'T1571.003', 'T1542.003', 'T1057', 'T1055.001', 'T1090.001', 'T1057.002', 'T1012', 'T1620', 'T1021.001', 'T1620.002', 'T1620.004', 'T1053.005', 'T1593.001', 'T1505.004', 'T1489', 'T1608.001', 'T1489.002', 'T1553.002', 'T1218', 'T1218.005', 'T1218.010', 'T1218.011', 'T1082', 'T1614.001', 'T1016', 'T1049', 'T1033', 'T1529', 'T1124', 'T1221', 'T1204.001', 'T1221.002', 'T1078', 'T1497.001', 'T1078.003', 'T1102.002', 'T1047', 'T1220', 'T0865']"
 G0140 , LazyScripter ,"['T1583.001', 'T0865.006', 'T1071.004', 'T1547.001', 'T1059.001', 'T0865.003', 'T0865.005', 'T0865.007', 'T1105', 'T1036', 'T1027.010', 'T1588.001', 'T1566.001', 'T1036.002', 'T1608.001', 'T1218.005', 'T1036.011', 'T1204.001', 'T1036.002', 'T1102']"
 G0077 , Leafminer ,"['T1110.003', 'T1059.007', 'T1136.001', 'T1555', 'T1555.003', 'T1189', 'T1114.002', 'T1083', 'T1046', 'T1027.010', 'T1588.002', 'T1003.001', 'T1046.004', 'T1046.005', 'T1055.013', 'T1018', 'T1552.001']"
 G0065 , Leviathan ,"['T1583.001', 'T1560', 'T1197', 'T1547.001', 'T1197.009', 'T1059.001', 'T1197.005', 'T1586.001', 'T1197.002', 'T1074.001', 'T1197.002', 'T1140', 'T1189', 'T1585.001', 'T1189.002', 'T1546.003', 'T1041', 'T1567.002', 'T1203', 'T1133', 'T1589.001', 'T1105', 'T1559.002', 'T1534', 'T1027.001', 'T1534.003', 'T1534.013', 'T1003', 'T1003.001', 'T1566.001', 'T1003.002', 'T1055.001', 'T1572', 'T1090.003', 'T1021.001', 'T1572.004', 'T1505.003', 'T1553.002', 'T1218.010', 'T1204.001', 'T1572.002', 'T1078', 'T1102.003', 'T1047']"
 G0030 , Lotus Blossom ,[]
 G1014 , LuminousMoth ,"['T1557.002', 'T1071.001', 'T1560', 'T1547.001', 'T1005', 'T1030', 'T1587.001', 'T1041', 'T1567.002', 'T1083', 'T1564.001', 'T1574.002', 'T1105', 'T1036.005', 'T1112', 'T1588.001', 'T1112.002', 'T1112.004', 'T1566.002', 'T1091', 'T1053.005', 'T1608.001', 'T1091.004', 'T1091.005', 'T1539', 'T1553.002', 'T1033', 'T1204.001']"
 G0095 , Machete ,"['T1059.003', 'T1033.005', 'T1033.006', 'T1189', 'T1036.005', 'T1566.001', 'T1189.002', 'T1053.005', 'T1218.007', 'T1204.001', 'T1189.002']"
 G0059 , Magic Hound ,"['T1087.003', 'T1098.002', 'T1189.007', 'T1583.001', 'T1189.006', 'T1595.002', 'T1071', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1071.003', 'T1071.005', 'T1586.002', 'T1584.001', 'T1136.001', 'T1486', 'T1005', 'T1482', 'T1189', 'T1114', 'T1114.001', 'T1114.002', 'T1573', 'T1585.001', 'T1573.002', 'T1567', 'T1190', 'T1083', 'T1592.002', 'T1589', 'T1589.001', 'T1589.002', 'T1590.005', 'T1591.001', 'T1564.003', 'T1562', 'T1562.001', 'T1562.002', 'T1562.004', 'T1070.003', 'T1562.004', 'T1105', 'T1056.001', 'T1570', 'T1036.004', 'T1570.005', 'T1570.010', 'T1112', 'T1046', 'T1571', 'T1027.010', 'T1571.013', 'T1588.002', 'T1003.001', 'T1566.002', 'T1571.003', 'T1598.003', 'T1057', 'T1572', 'T1090', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1505.003', 'T1218.011', 'T1082', 'T1016', 'T1016.001', 'T1016.002', 'T1049', 'T1033', 'T1204.001', 'T1033.002', 'T1078.001', 'T1033.002', 'T1102.002', 'T1047']"
 G1026 , Malteiro ,"['T1059.005', 'T1555', 'T1555.003', 'T1140', 'T1657', 'T1027.013', 'T1566.001', 'T1055.001', 'T1518.001', 'T1082', 'T1614.001', 'T1204.002']"
 G0045 , menuPass ,"['T1087.002', 'T1583.001', 'T1560', 'T1560.001', 'T1119', 'T1059.001', 'T1119.003', 'T1005', 'T1039', 'T1074.001', 'T1039.002', 'T1140', 'T1568.001', 'T1190', 'T1210', 'T1083', 'T1574.001', 'T1083.002', 'T1070.003', 'T1083.004', 'T1105', 'T1056.001', 'T1036', 'T1036.003', 'T1036.005', 'T1106', 'T1046', 'T1027.013', 'T1588.002', 'T1003.002', 'T1046.003', 'T1046.004', 'T1566.001', 'T1055.012', 'T1090.002', 'T1021.001', 'T1046.004', 'T1018', 'T1053.005', 'T1553.002', 'T1218.004', 'T1016', 'T1049', 'T1199', 'T1204.002', 'T1078', 'T1047']"
 G1013 , Metador ,"['T1071.001', 'T1059.003', 'T1546.003', 'T1070.004', 'T1105', 'T1095', 'T1027.013', 'T1588.001', 'T1095.002']"
 G0002 , Moafee ,['T1027.001']
 G0103 , Mofang ,"['T1027.013', 'T1566.001', 'T1095.002', 'T1204.001', 'T1095.002']"
 G0021 , Molerats ,"['T1547.001', 'T1059.001', 'T1095.005', 'T1095.007', 'T1555.003', 'T1140', 'T1105', 'T1027.013', 'T1566.001', 'T1105.002', 'T1057', 'T1053.005', 'T1553.002', 'T1218.007', 'T1204.001', 'T1057.002']"
 G1036 , Moonstone Sleet ,"['T1583.001', 'T1057.003', 'T1071.001', 'T1547.001', 'T1217', 'T1486', 'T1140', 'T1587', 'T1587.001', 'T1585.001', 'T1587.002', 'T1589.002', 'T1591', 'T1105', 'T1027', 'T1027.009', 'T1027.013', 'T1003.001', 'T1566.001', 'T1027.003', 'T1598', 'T1598.003', 'T1053.005', 'T1608.001', 'T1195.002', 'T1082', 'T1016', 'T1033', 'T1569.002', 'T1204.002']"
 G1009 , Moses Staff ,"['T1087.001', 'T1587.001', 'T1190', 'T1562.004', 'T1105', 'T1027.013', 'T1588.002', 'T1021.002', 'T1505.003', 'T1553.002', 'T1082', 'T1016']"
 G1019 , MoustachedBouncer ,"['T1059.001', 'T1016.007', 'T1659', 'T1074.002', 'T1068', 'T1027.002', 'T1090', 'T1113', 'T1655.001']"
 G0069 , MuddyWater ,"['T1548.002', 'T1087.002', 'T1583.006', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1113.003', 'T1113.005', 'T1113.006', 'T1113.007', 'T1555', 'T1555.003', 'T1132.001', 'T1074.001', 'T1140', 'T1573.001', 'T1041', 'T1190', 'T1203', 'T1210', 'T1083', 'T1574.002', 'T1562.001', 'T1105', 'T1559.001', 'T1105.002', 'T1036.005', 'T1104', 'T1027.003', 'T1104.004', 'T1104.010', 'T1588.002', 'T1137.001', 'T1003.001', 'T1104.004', 'T1104.005', 'T1566.001', 'T1104.002', 'T1057', 'T1090.002', 'T1219', 'T1053.005', 'T1113', 'T1518', 'T1518.001', 'T1218.003', 'T1518.005', 'T1518.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1552.001', 'T1204.001', 'T1033.002', 'T1102.002', 'T1047']"
 G0129 , Mustang Panda ,"['T1583.001', 'T1071.001', 'T1560.001', 'T1047.003', 'T1119', 'T1547.001', 'T1059.001', 'T1119.003', 'T1119.005', 'T1074.001', 'T1573.001', 'T1585.002', 'T1546.003', 'T1052.001', 'T1203', 'T1083', 'T1564.001', 'T1574.002', 'T1070.004', 'T1105', 'T1036.005', 'T1105.007', 'T1027', 'T1027.001', 'T1003.003', 'T1566.001', 'T1027.002', 'T1598.003', 'T1057', 'T1219', 'T1091', 'T1053.005', 'T1518', 'T1608', 'T1608.001', 'T1218.004', 'T1608.005', 'T1082', 'T1016', 'T1049', 'T1204.001', 'T1049.002', 'T1102', 'T1047']"
 G1020 , Mustard Tempest ,"['T1583.004', 'T1047.008', 'T1584.001', 'T1189', 'T1105', 'T1036.005', 'T1566.002', 'T1608.001', 'T1105.004', 'T1105.006', 'T1082', 'T1204.001']"
 G0019 , Naikon ,"['T1547.001', 'T1574.002', 'T1036.004', 'T1082.005', 'T1046', 'T1137.006', 'T1566.001', 'T1018', 'T1053.005', 'T1518.001', 'T1016', 'T1204.002', 'T1078.002', 'T1047']"
 G0055 , NEODYMIUM ,[]
 G0133 , Nomadic Octopus ,"['T1059.001', 'T1047.003', 'T1564.003', 'T1105', 'T1036', 'T1566.001', 'T1204.002']"
 G0049 , OilRig ,"['T1087.001', 'T1036.002', 'T1071.001', 'T1036.004', 'T1119', 'T1110', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1555', 'T1555.003', 'T1555.004', 'T1140', 'T1573.002', 'T1048.003', 'T1133', 'T1008', 'T1070.004', 'T1105', 'T1056.001', 'T1036', 'T1046', 'T1027.005', 'T1046.013', 'T1137.004', 'T1003.001', 'T1046.004', 'T1046.005', 'T1201', 'T1120', 'T1069.001', 'T1120.002', 'T1566.001', 'T1120.002', 'T1120.003', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1012.004', 'T1053.005', 'T1113', 'T1505.003', 'T1218.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1552.001', 'T1204.001', 'T1007.002', 'T1078', 'T1497.001', 'T1047', 'T0817', 'T0853', 'T0865', 'T0869', 'T0859']"
 G0071 , Orangeworm ,"['T1071.001', 'T1021.002']"
 G0040 , Patchwork ,"['T1548.002', 'T1560', 'T1119', 'T1197', 'T1547.001', 'T1059.001', 'T1197.003', 'T1197.005', 'T1555.003', 'T1132.001', 'T1005', 'T1074.001', 'T1587.002', 'T1189', 'T1203', 'T1083', 'T1574.002', 'T1070.004', 'T1105', 'T1559.002', 'T1036.005', 'T1112', 'T1027.001', 'T1112.002', 'T1112.005', 'T1112.010', 'T1588.002', 'T1566.001', 'T1112.002', 'T1598.003', 'T1055.012', 'T1021.001', 'T1053.005', 'T1518.001', 'T1553.002', 'T1082', 'T1033', 'T1204.001', 'T1033.002', 'T1102.001']"
 G0011 , PittyTiger ,"['T1588.002', 'T1078']"
 G0068 , PLATINUM ,"['T1189', 'T1068', 'T1105', 'T1056.001', 'T1105.004', 'T1036', 'T1095', 'T1003.001', 'T1566.001', 'T1055', 'T1204.002']"
 G1040 , Play ,"['T1560.001', 'T1059.001', 'T1055.003', 'T1030', 'T1587.001', 'T1048', 'T1190', 'T1133', 'T1083', 'T1657', 'T1562.001', 'T1070.001', 'T1657.004', 'T1105', 'T1027.010', 'T1588.002', 'T1003.001', 'T1057', 'T1021.002', 'T1018', 'T1518.001', 'T1082', 'T1016', 'T1078', 'T1078.002', 'T1078.003']"
 G1005 , POLONIUM ,"['T1583.006', 'T1567.002', 'T1588.002', 'T1090', 'T1199', 'T1078', 'T1102.002']"
 G0033 , Poseidon Group ,"['T1087.001', 'T1078.002', 'T1059.001', 'T1036.005', 'T1003', 'T1057', 'T1049', 'T1007']"
 G0056 , PROMETHIUM ,"['T1547.001', 'T1543.003', 'T1587.002', 'T1007.003', 'T1189', 'T1036.004', 'T1189.005', 'T1553.002', 'T1205.001', 'T1204.002', 'T1078.003', 'T1517', 'T1437.001', 'T1532', 'T1429', 'T1456', 'T1521.001', 'T1624.001', 'T1646', 'T1420', 'T1629.003', 'T1544', 'T1430', 'T1655.001', 'T1406', 'T1636.002', 'T1406.003', 'T1406.004', 'T1418', 'T1426', 'T1421']"
 G0024 , Putter Panda ,"['T1547.001', 'T1562.001', 'T1027.013', 'T1055.001']"
 G0075 , Rancor ,"['T1071.001', 'T1059.003', 'T1421.005', 'T1546.003', 'T1105', 'T1566.001', 'T1053.005', 'T1218.007', 'T1204.002']"
 G1039 , RedCurl ,"['T1087.001', 'T1105.002', 'T1105.003', 'T1071.001', 'T1560.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1020.003', 'T1020.005', 'T1020.006', 'T1555.003', 'T1005', 'T1039', 'T1587.001', 'T1114.001', 'T1573.001', 'T1039.002', 'T1083', 'T1564.001', 'T1070.004', 'T1202', 'T1056.002', 'T1036.005', 'T1046', 'T1027', 'T1003.001', 'T1566.001', 'T1027.002', 'T1053.005', 'T1218.011', 'T1082', 'T1080', 'T1537', 'T1199', 'T1552.001', 'T1199.002', 'T1204.001', 'T1199.002', 'T1102']"
 G0106 , Rocke ,"['T1071', 'T1071.001', 'T1547.001', 'T1037', 'T1059.004', 'T1037.006', 'T1543.002', 'T1140', 'T1190', 'T1222.002', 'T1564.001', 'T1574.006', 'T1562.001', 'T1190.004', 'T1070.002', 'T1190.004', 'T1190.006', 'T1105', 'T1036.005', 'T1046', 'T1571', 'T1027', 'T1027.002', 'T1027.004', 'T1057', 'T1055.002', 'T1021.004', 'T1018', 'T1496.001', 'T1014', 'T1053.003', 'T1518.001', 'T1082', 'T1552.004', 'T1102', 'T1102.001']"
 G0048 , RTM ,"['T1547.001', 'T1189', 'T1574.001', 'T1566.001', 'T1219', 'T1204.002', 'T1102.001']"
 G1031 , Saint Bear ,"['T1583.006', 'T1059', 'T1059.001', 'T1059.003', 'T1059.007', 'T1203', 'T1589.002', 'T1562.001', 'T1656', 'T1112', 'T1027.002', 'T1112.013', 'T1566.001', 'T1608.001', 'T1553.002', 'T1204.001', 'T1112.002', 'T1497']"
 G0034 , Sandworm Team ,"['T1087.002', 'T1497.003', 'T1098', 'T1583', 'T1583.001', 'T1583.004', 'T1595.002', 'T1071.001', 'T1110', 'T1059.001', 'T1110.003', 'T1110.005', 'T1586.001', 'T1554', 'T1584.004', 'T1554.005', 'T1136.002', 'T1543.002', 'T1554.003', 'T1555.003', 'T1485', 'T1132.001', 'T1486', 'T1213', 'T1005', 'T1491.002', 'T1140', 'T1587.001', 'T1561.002', 'T1484.001', 'T1499', 'T1585.001', 'T1499.002', 'T1041', 'T1190', 'T1203', 'T1133', 'T1083', 'T1592.002', 'T1589.002', 'T1083.003', 'T1590.001', 'T1591.002', 'T1562.001', 'T1083.002', 'T1070.004', 'T1105', 'T1490', 'T1056.001', 'T1570', 'T1036', 'T1036.004', 'T1036.005', 'T1036.008', 'T1036.010', 'T1112', 'T1106', 'T1040', 'T1095', 'T1571', 'T1027', 'T1027.002', 'T1027.010', 'T1588.002', 'T1027.006', 'T1003.001', 'T1027.003', 'T1566.001', 'T1027.002', 'T1598.003', 'T1055', 'T1572', 'T1090', 'T1219', 'T1021.002', 'T1018', 'T1053.005', 'T1593', 'T1594', 'T1505.001', 'T1594.003', 'T1489', 'T1072', 'T1608.001', 'T1539', 'T1195', 'T1195.002', 'T1218.011', 'T1082', 'T1049', 'T1033', 'T1199', 'T1204.001', 'T1199.002', 'T1078', 'T1078.002', 'T1102.002', 'T1047', 'T1660', 'T1409', 'T0895', 'T0803', 'T0804', 'T0805', 'T0807', 'T0885', 'T0884', 'T0813', 'T0814', 'T0816', 'T0819', 'T0822', 'T0823', 'T0867', 'T0826', 'T0827', 'T0828', 'T0831', 'T0849', 'T0886', 'T0846', 'T0853', 'T0894', 'T0857', 'T0855', 'T0859']"
 G0029 , Scarlet Mimic ,['T1036.002']
 G1015 , Scattered Spider ,"['T1087.002', 'T0859.003', 'T0859.004', 'T1098.001', 'T0859.003', 'T0859.005', 'T1217', 'T1580', 'T1538', 'T1136', 'T1486', 'T1530', 'T1213.002', 'T1530.003', 'T1530.005', 'T1074', 'T1006', 'T1484.002', 'T1114', 'T1567.002', 'T1190', 'T1068', 'T1133', 'T1083', 'T1657', 'T1589.001', 'T1564.008', 'T1656', 'T1105', 'T1556.006', 'T1105.009', 'T1578.002', 'T1621', 'T1046', 'T1588.002', 'T1003.003', 'T1046.006', 'T1069.003', 'T1566.004', 'T1598', 'T1598.001', 'T1598.004', 'T1572', 'T1090', 'T1219', 'T1021.007', 'T1018', 'T1539', 'T1553.002', 'T1552.001', 'T1539.004', 'T1204', 'T1078.004', 'T1102', 'T1047', 'T1660']"
 G1008 , SideCopy ,"['T1059.005', 'T1584.001', 'T1574.002', 'T1105', 'T1036.005', 'T1106', 'T1566.001', 'T1598.002', 'T1518', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1614', 'T1016', 'T1204.002']"
 G0121 , Sidewinder ,"['T1071.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1020.005', 'T1020.007', 'T1074.001', 'T1203', 'T1083', 'T1574.002', 'T1105', 'T1559.002', 'T1036.005', 'T1027.010', 'T1105.013', 'T1566.001', 'T1105.002', 'T1598.002', 'T1105.003', 'T1057', 'T1518', 'T1518.001', 'T1218.005', 'T1082', 'T1016', 'T1033', 'T1124', 'T1204.001', 'T1124.002']"
 G0091 , Silence ,"['T1547.001', 'T1059.001', 'T1124.003', 'T1124.005', 'T1124.007', 'T1070.004', 'T1105', 'T1036.005', 'T1112', 'T1106', 'T1571', 'T1027.010', 'T1588.002', 'T1003.001', 'T1566.001', 'T1055', 'T1090.002', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1072', 'T1553.002', 'T1218.001', 'T1569.002', 'T1204.002', 'T1078', 'T1125']"
 G0122 , Silent Librarian ,"['T1583.001', 'T1110.003', 'T1114', 'T1114.003', 'T1585.002', 'T1589.002', 'T1114.003', 'T1588.002', 'T1114.004', 'T1598.003', 'T1594', 'T1608.005', 'T1078']"
 G0083 , SilverTerrier ,"['T1071.001', 'T1078.002', 'T1078.003', 'T1657']"
 G0054 , Sowbug ,"['T1560.001', 'T1059.003', 'T1039', 'T1083', 'T1056.001', 'T1036.005', 'T1135', 'T1003', 'T1082']"
 G1033 , Star Blizzard ,"['T1583', 'T1583.001', 'T1059.007', 'T1586.002', 'T1114.002', 'T1583.003', 'T1585.001', 'T1583.002', 'T1589', 'T1588.002', 'T1566.001', 'T1598.002', 'T1589.003', 'T1593', 'T1608.001', 'T1539', 'T1550.004', 'T1204.002', 'T1078']"
 G0038 , Stealth Falcon ,"['T1071.001', 'T1059', 'T1059.001', 'T1555', 'T1555.003', 'T1555.004', 'T1005', 'T1573.001', 'T1041', 'T1057', 'T1012', 'T1053.005', 'T1082', 'T1016', 'T1033', 'T1047']"
 G0041 , Strider ,"['T1564.005', 'T1556.002', 'T1090.001']"
 G0039 , Suckfly ,"['T1059.003', 'T1046', 'T1003', 'T1553.002', 'T1078']"
 G1018 , TA2541 ,"['T1583.001', 'T1078.006', 'T1547.001', 'T1059.001', 'T1078.005', 'T1568', 'T1573.002', 'T1562.001', 'T1105', 'T1036.005', 'T1027.002', 'T1105.013', 'T1588.001', 'T1105.002', 'T1566.001', 'T1105.002', 'T1055', 'T1055.012', 'T1053.005', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1016.001', 'T1204.001', 'T1082.002', 'T1047']"
 G0062 , TA459 ,"['T1059.001', 'T1047.005', 'T1203', 'T1566.001', 'T1204.002']"
 G0092 , TA505 ,"['T1087.003', 'T1583.001', 'T1071.001', 'T1059.001', 'T1203.003', 'T1203.005', 'T1203.007', 'T1555.003', 'T1486', 'T1140', 'T1568.001', 'T1562.001', 'T1105', 'T1559.002', 'T1112', 'T1106', 'T1027.002', 'T1106.010', 'T1106.013', 'T1588.001', 'T1106.002', 'T1069', 'T1566.001', 'T1069.002', 'T1055.001', 'T1608.001', 'T1553.002', 'T1069.005', 'T1218.007', 'T1069.011', 'T1552.001', 'T1204.001', 'T1069.002', 'T1078.002']"
 G0127 , TA551 ,"['T1071.001', 'T1059.003', 'T1132.001', 'T1568.002', 'T1589.002', 'T1105', 'T1036', 'T1027.003', 'T1036.010', 'T1566.001', 'T1218.005', 'T1036.010', 'T1036.011', 'T1204.002']"
 G1037 , TA577 ,"['T1059.003', 'T1036.007', 'T1586.002', 'T1027.009', 'T1566.002', 'T1204.001']"
 G1038 , TA578 ,"['T1583.006', 'T1059.007', 'T1594', 'T1204.001']"
 G0139 , TeamTNT ,"['T1098.004', 'T1583.001', 'T1595.001', 'T1594.002', 'T1071', 'T1071.001', 'T1547.001', 'T1059.001', 'T1071.003', 'T1071.004', 'T1071.009', 'T1609', 'T1613', 'T1136.001', 'T1543.002', 'T1613.003', 'T1074.001', 'T1140', 'T1610', 'T1587.001', 'T1611', 'T1048', 'T1133', 'T1083', 'T1222.002', 'T1562.001', 'T1083.004', 'T1070.002', 'T1083.003', 'T1083.004', 'T1105', 'T1036', 'T1036.005', 'T1046', 'T1027.002', 'T1046.013', 'T1120', 'T1057', 'T1219', 'T1021.004', 'T1496.001', 'T1014', 'T1518.001', 'T1608.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1569', 'T1552.001', 'T1569.004', 'T1569.005', 'T1204.003', 'T1102']"
